"","CKU1","CKU3","CKU4","CKU5","CKU2","CLU1","CLU2","CLU3","CLU4","CLU5","JPU1","JPU2","JPU3","JPU4","JPU5","MHU1","MHU2","MHU3","MHU4","MHU5","YMU1","YMU2","YMU3","YMU4","YMU5"
"OTU109.g__Glomus",2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,10
"OTU375.g__Glomus",0,0,6,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU3.g__Glomus",87,95,113,94,305,251,433,57,145,610,200,693,481,116,600,294,397,36,97,180,87,98,75,261,135
"OTU618.g__Glomus",0,0,5,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU11.g__Glomus",12,7,13,30,36,17,35,16,15,128,52,13,17,9,13,22,57,5,80,59,110,49,257,20,6
"OTU596.g__Acaulospora",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU345.g__Glomus",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0
"OTU617.g__Acaulospora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU622.g__Paraglomus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0
"OTU406.g__Paraglomus",0,0,0,0,0,0,0,0,4,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
"OTU18.g__Glomus",148,147,96,170,163,88,73,144,529,142,119,77,143,78,472,954,814,2053,1126,300,138,18,159,180,18
"OTU751.g__Glomus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU475.g__Glomus",0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"OTU184.g__Glomus",3,2,0,1,1,0,1,0,1,0,5,0,2,1,0,2,8,2,2,0,3,9,4,2,1
"OTU259.g__Glomus",0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU298.g__Glomus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"OTU377.g__Glomus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"OTU198.g__Glomus",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"OTU214.g__Glomus",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4
"OTU684.g__Glomus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"OTU28.g__Glomus",1,2,2,8,11,18,52,10,35,44,31,73,3,3,60,10,4,1,2,11,5,4,0,4,7
"OTU192.g__Glomus",7,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU257.g__Glomus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU265.g__Glomus",20,0,2,1,0,7,2,0,0,0,4,0,0,1,0,10,0,0,4,4,0,2,0,0,0
"OTU533.g__Glomus",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU723.g__Glomus",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU409.g__Glomus",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU122.g__Paraglomus",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0
"OTU166.g__Paraglomus",0,0,7,0,0,16,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0
"OTU260.g__Paraglomus",0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU600.g__Paraglomus",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU95.g__Claroideoglomus",0,3,7,0,8,26,7,0,17,7,2,2,0,0,6,0,0,11,4,2,2,3,1,0,0
"OTU432.g__Glomus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU279.g__Archaeospora",0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU297.g__Archaeospora",0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU421.g__Archaeospora",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"OTU459.g__Archaeospora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU673.g__Archaeospora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU180.g__Archaeospora",0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU493.g__Glomus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU558.g__Ambispora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU637.g__Ambispora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU731.g__Ambispora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU595.g__Ambispora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU149.g__Glomus",0,4,5,0,0,0,0,0,1,0,3,0,4,1,0,0,0,1,0,0,0,0,0,0,0
"OTU220.g__Glomus",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU303.g__Glomus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU62.g__Paraglomus",0,0,0,2,0,0,0,0,0,1,0,1,41,0,2,0,0,0,0,0,0,0,0,0,0
"OTU165.g__Paraglomus",1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU117.g__Claroideoglomus",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU13.g__Glomus",232,18,91,38,49,163,145,191,44,100,598,62,169,7,17,27,69,81,69,20,55,46,11,19,15
"OTU568.g__Glomus",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU335.g__Glomus",28,14,28,51,39,24,82,348,164,22,78,13,114,84,21,2,256,477,2,175,14,11,1,20,4
"OTU737.g__Ambispora",0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU25.g__Claroideoglomus",18,9,28,21,68,13,15,8,9,12,6,7,10,3,9,2,0,4,20,11,4,140,2,1,2
"OTU415.g__Claroideoglomus",0,0,46,0,0,0,0,2,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU588.g__Glomus",54,23,83,62,108,284,168,17,94,285,78,351,536,143,289,28,156,29,65,84,56,64,19,57,41
"OTU382.g__Claroideoglomus",0,0,0,0,0,29,0,0,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0
"OTU201.g__Glomus",0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
