#OTU ID	CKB1	CKB2	CKB3	CKB4	CKB5	CKB6	CKB7	CKB8	CKJ1	CKJ10	CKJ2	CKJ3	CKJ4	CKJ5	CKJ6	CKJ7	CKJ8	CKJ9	CKU1	CKU2	CKU3	CKU4	CKU5	CKU6	CKU7	CKU8	CKY1	CKY2	CKY3	CKY4	CKY5	CLU1	CLU2	CLU3	CLU4	CLU5	DDH1	DDH2	DDH3	DDL2	DDL22	DDL3	DDL4	DDN1	DDN2	DDN3	DDN4	DDN5	GLH1	GLH2	GLH3	GLL2	GLL3	GLL4	GLN1	GLN2	GLN3	GLN4	GLN5	JPU1	JPU2	JPU3	JPU4	JPU5	MHU1	MHU2	MHU3	MHU4	MHU5	TGH1	TGH2	TGH3	TGL2	TGL3	TGL4	TJH1	TJH2	TJH3	TJL2	TJL3	TJL4	TJN1	TJN2	TJN3	TJN4	TJN5	YMH1	YMH2	YMH3	YML2	YML3	YML4	YMN1	YMN2	YMN3	YMN4	YMN5	YMU1	YMU2	YMU3	YMU4	YMU5
OTU1	4	43	50	21	11	78	1238	2087	9	29	111	434	0	119	40	10	10	7	1493	1	3339	1241	454	136	323	542	6612	14503	218	7119	10019	503	2923	2506	2277	301	14917	5258	514	0	12060	11294	36298	4389	6921	21515	11516	1425	1930	897	251	1912	4117	759	1274	10397	2999	1317	2073	2544	1889	600	4561	1235	2755	5567	5687	430	21608	21077	16503	5920	9937	952	11796	418	350	384	2763	6220	8307	9318	11195	4709	24780	1451	470	895	343	459	1518	3052	5378	1584	2115	1431	4515	2537	483	2310	1326	3541
OTU10	0	12	4	3	0	4	5	2	1	9	12	17	0	5	0	3	1	1	2	0	0	0	1	0	1	2	68	111	34	59	39	2	0	0	62	2	41	38	45	0	46707	77	69	62	84	42	39	58	74	89	20	61	54	63	96	87	116	102	134	4	1	2	6	0	4	2	2	0	7	39	36	59	89	44	63	57	44	37	42	39	75	79	46	97	46	66	80	391	388	47	58	38	92	113	118	106	137	0	0	0	4	0
OTU100	0	2	0	0	0	1	1	1	0	0	0	2	0	5	0	0	0	0	0	0	14	0	1	1	0	0	11	35	0	9	2	0	7	0	2	1	6	0	3	0	1050	0	96	12	29	5	5	4	3	2	0	1	1	1	4	4	3	3	5	0	1	9	14	0	2	1	0	1	4	1	0	3	5	5	1	2	0	2	2	1	4	4	1	32	27	1	1	3	0	4	70	4	5	10	1	12	7	0	8	4	11	73
OTU101	0	1	0	0	0	0	0	1	0	0	0	5	0	1	0	0	0	0	2	0	28	0	0	0	10	0	690	111	5	122	2	1	134	0	0	3	0	1	1	0	2	2	173	4	0	0	0	3	2	1	3	2	6	0	6	3	1	6	3	1	0	0	0	0	0	1	0	3	1	0	3	8	3	1	2	1	3	2	3	3	1	0	0	4	1	4	1	1	0	1	1	4	0	0	0	12	2	2	1	0	2	2
OTU102	0	0	2	0	0	1	0	4	1	0	0	4	0	2	0	0	0	0	8	0	0	3	0	4	0	0	2	8	0	6	11	0	0	0	4	0	12	29	19	0	1813	10	1	1	6	3	3	4	0	0	1	2	5	1	1	1	3	0	8	0	0	0	6	1	0	0	0	0	3	7	3	0	9	5	6	33	0	60	12	0	2	0	1	8	11	2	6	38	27	4	1	2	4	3	17	3	10	1	2	1	0	0
OTU103	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	3	0	3	0	0	1	0	4	0	0	1	0	1	3	0	7	0	2	8	1	2	0	716	1	0	0	0	0	0	0	3	0	196	0	1	6	0	5	3	3	4	1	0	0	0	0	0	0	3	1	0	3	0	1	0	2	79	4	161	1	2	48	0	35	0	0
OTU104	0	0	4	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1157	1	0	0	0	0	0	0	3	0	2	0	2	0	1	0	10	0	0	0	1	4	0	5	0	5	3	7	84	12	6	0	0	0	0	0	0	0	14	0	4	3	0	0	3	2	0	0	1	2	6	2	1	6	1	4	2	1	3	3	1	4	1	2	5	5	0	9	4	0	0	1	0	0
OTU105	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	5	2	1	5	4	3	0	8	0	0	0	0	0	1	4	3	13	8	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	11	4	0	4	3	4	2	2	0	0	917	3	1	689	14	0	0	0	0	0	0	0	0	0	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	1	13	2	195	241
OTU106	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	1	0	1	9	0	7	3	0	0	0	6	1	3	2	0	0	3	2	0	3	2	3	17	1	0	7	0	4	2	0	6	2	2	3	4	4	112	1	3	0	35	2	8	5	92	0	0	2	4	1	0	1	0	0	0	0	0	0	665	13	4	1	5	3	4	2	0	0	1	3	1	1	2	0	48	0	2	204
OTU107	0	1	0	0	0	0	102	0	0	1	0	2	0	0	0	0	0	0	40	0	4	0	0	3	0	5	3	0	6	2	1	15	30	9	4	49	1	0	1	0	155	106	3	78	34	25	3	224	5	4	1	9	0	2	2	8	132	24	3	1	23	19	30	8	0	2	38	13	1	1	0	1	2	0	5	0	4	4	4	0	247	6	112	69	88	47	10	6	2	1	0	0	2	46	2	2	32	2	32	2	8	11
