"","CKU1","CKU3","CKU4","CKU5","CKU2","CLU1","CLU2","CLU3","CLU4","CLU5","JPU1","JPU2","JPU3","JPU4","JPU5","MHU1","MHU2","MHU3","MHU4","MHU5","YMU1","YMU2","YMU3","YMU4","YMU5"
"OTU1.p__Ascomycota.g__Pseudogymnoascus",226,5,294,83,115,24,73,7,186,92,50,9,33,70,4,84,7,128,123,85,7,49,46,90,156
"OTU2.p__Ascomycota.g__Striaticonidium",34,3,18,10,52,13,80,9,71,38,71,7,70,28,4,1,2,10,2,3,10,113,391,240,96
"OTU3.p__Ascomycota.g__Fusarium",148,6,8,3,20,0,2,1,41,11,4,2,5,0,0,1,0,2,6,8,0,0,0,0,0
"OTU4.p__Ascomycota.g__Fusarium",89,1,32,25,58,198,52,6,106,66,45,6,26,38,2,150,13,163,173,316,12,152,101,65,33
"OTU5.p__Ascomycota.g__Chaetomium",56,2,36,34,78,14,46,42,155,70,21,30,57,50,27,175,41,113,144,120,34,20,70,38,28
"OTU6.p__Ascomycota.g__Fusarium",20,1,5,2,186,0,0,0,4,8,141,5,0,0,7,5,4,1,0,1,5,0,0,0,0
"OTU7.p__Ascomycota.g__Preussia",125,1,97,97,6,1,5,7,50,6,3,0,0,0,1,0,0,6,1,18,0,1,2,1,4
"OTU8.p__Ascomycota.g__Hypocreales_gen_Incertae_sedis",2,0,11,5,12,7,121,6,11,117,25,7,19,17,6,10,8,9,19,22,4,140,163,53,89
"OTU9.p__Ascomycota.g__Nectriaceae_gen_Incertae_sedis",28,33,61,24,63,8,39,13,127,127,30,17,79,70,24,10,21,9,22,24,18,48,9,26,13
"OTU10.p__Ascomycota.g__Curvularia",6,1,1,1,3,6,45,6,108,28,22,1,14,4,2,0,4,9,0,1,3,3,1,1,7
"OTU11.p__Ascomycota.g__Alternaria",46,3,41,13,37,32,46,11,43,30,26,19,59,12,8,10,7,11,157,13,3,3,6,2,3
"OTU12.p__Ascomycota.g__Preussia",17,1,25,7,22,8,25,1,24,36,7,3,16,23,5,37,5,132,109,78,3,10,28,11,1258
"OTU13.p__Ascomycota.g__Metarhizium",4,1,6,7,33,3,16,4,4,7,3,1,14,3,1,101,1,17,11,7,4,5,8,4,3
"OTU14.p__Ascomycota.g__Botryotrichum",27,3,102,14,21,354,26,1,45,333,13,7,34,227,2,214,8,284,270,166,4,51,15,63,126
"OTU15.p__Ascomycota.g__Pyrenochaetopsis",52,1,10,2,38,6,35,1,24,21,5,3,41,14,0,1,1,14,3,1,2,53,53,44,116
"OTU16.p__Ascomycota.g__Cephalotrichum",8,3,67,2,0,2,6,0,11,4,5,0,11,11,6,1,0,1,2,0,0,1,1,3,0
"OTU17.p__Ascomycota.g__Chaetomiaceae_gen_Incertae_sedis",13,4,0,60,7,0,7,0,74,6,5,0,4,0,3,0,0,0,1,2,0,0,0,1,0
"OTU18.p__Basidiomycota.g__Candolleomyces",1,0,0,0,96,0,0,0,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
