OTU ID	CKB1	CKB2	CKB3	CKB4	CKB5	CKB6	CKB7	CKB8	CKJ1	CKJ10	CKJ2	CKJ3	CKJ4	CKJ5	CKJ6	CKJ7	CKJ8	CKJ9	CKU1	CKU2	CKU3	CKU4	CKU5	CKU6	CKU7	CKU8	CKY1	CKY2	CKY3	CKY4	CKY5	CLU1	CLU2	CLU3	CLU4	CLU5	DDH1	DDH2	DDH3	DDL2	DDL22	DDL3	DDL4	DDN1	DDN2	DDN3	DDN4	DDN5	GLH1	GLH2	GLH3	GLL2	GLL3	GLL4	GLN1	GLN2	GLN3	GLN4	GLN5	JPU1	JPU2	JPU3	JPU4	JPU5	MHU1	MHU2	MHU3	MHU4	MHU5	TGH1	TGH2	TGH3	TGL2	TGL3	TGL4	TJH1	TJH2	TJH3	TJL2	TJL3	TJL4	TJN1	TJN2	TJN3	TJN4	TJN5	YMH1	YMH2	YMH3	YML2	YML3	YML4	YMN1	YMN2	YMN3	YMN4	YMN5	YMU1	YMU2	YMU3	YMU4	YMU5
OTU1	403	400	89	179	5	19	213	460	723	47	832	493	1425	2274	38	9	26	3	419	5	206	822	237	337	195	140	4073	21310	12024	13797	5244	78	163	150	530	92	29874	6885	13616	3	3948	14913	7456	2479	3931	2125	4974	2042	12370	8299	5984	7617	28558	1889	2256	2879	11488	3144	3835	149	101	37	71	119	3216	79	7759	4661	4297	8205	7098	6219	8480	11866	3225	14192	27832	12020	6142	9213	5653	4223	3042	1373	3523	828	11095	5937	15044	7138	14305	2612	1608	6289	4629	3661	2892	115	3864	1951	3317	5887
OTU10	39	113	2	35	0	2	28	46	27	2	62	138	509	1133	10	1	3	6	9	0	9	4	4	5	4	0	1345	1128	928	370	1676	27	89	146	308	28	102	80	79	1	112	150	505	1517	2444	3615	12212	2091	446	251	90	351	911	29573	2262	2069	4316	659	483	53	5	14	4	68	24	63	257	8	102	1374	200	249	2033	2623	1319	128	132	59	363	18	718	1469	871	883	494	176	335	107	152	780	176	242	324	847	351	1109	1464	36	368	107	109	128
OTU100	0	62	0	3	0	1	9	10	4	0	4	12	88	57	2	0	0	0	5	0	6	1	13	4	7	1	90	875	117	628	191	7	81	3	11	7	32	86	1	0	6	7	58	179	2856	48	256	268	334	118	60	60	99	8	99	188	272	105	101	2	1	9	1	48	521	19	1003	428	260	12	23	6	218	125	4	5	4	59	97	72	54	63	232	284	87	59	5	1	65	161	29	14	44	70	7	26	95	16	211	137	272	135
OTU1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	149	0	0	4	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	10	2	0	0	0	16	0	0	0	0
OTU1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	32	0
OTU1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	10	0	112	101	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	1
OTU1003	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	65	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	218	0	0	10	0	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	9	0	1	0	2	0	0	1	0	0	0	0	8	0	0	1	0
OTU1004	0	1	0	0	0	0	0	0	0	0	2	16	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	56	11	1	15	24	0	0	0	1	5	0	49	78	165	21	12	0	0	0	2	0	0	3	9	0	2	1	0	1	0	5	0	0	0	0	0	0	1	47	51	3	0	4	0	0	2	6	0	0	1	3	2	1	14	0	0	0	0	0
OTU1005	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
OTU1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	10	0	0	0	0
OTU1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	218	0	0	24	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0	4	0	0	0	0	11	0	0	0	0
OTU1008	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	1	63	96	51	18
OTU1009	0	0	0	0	0	0	0	1	1	0	10	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	30	206	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
OTU101	0	0	0	2	0	0	7	10	6	0	5	0	4	2	0	0	0	0	4	0	4	11	6	4	7	1	0	21	7	0	0	2	8	1	5	7	26	2	0	0	149	27	21	5	0	2	0	0	3	1	4	3	9	0	19	1	32	9	172	6	7	0	0	6	1186	10	1403	136	7214	4	0	0	3	11	6	11	90	77	89	10	1	4	0	4	0	1	6	14	31	18	5	4	1	24	0	1	0	28	5	2	3	8
OTU1010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	27	1	0	4	6	0	0	0	0	1	0	12	190	2	4	6	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	1	18	2	0	8	0	0	0	0	0
OTU1012	0	7	0	0	0	0	0	0	0	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	19	2	0	0	0	0	0	0	1	0	3	2	22	2	11	4	0	0	0	0	0	0	1	0	0	0	1	0	0	2	34	0	3	2	0	0	0	237	11	0	0	4	1	0	0	2	0	0	1	3	0	0	2	0	18	0	0	0
OTU1013	2	3	0	0	0	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	21	85	1	62	14	0	0	0	0	0	0	0	23	0	0	0	0	7	2	1	0	0	0	1	0	1	8	1	0	3	8	1	6	0	0	0	0	0	0	0	1	0	0	27	57	11	4	10	2	4	0	2	2	7	0	7	6	1	0	1	0	10	2	7	12	4	0	3	0	0	0	0	0	0	0	0
OTU1014	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	151	0	1	0	0	0	2	0	0	0	0	0	162	6	0	0	0	0	0	0	7	31	0	0	0	2	0	0	0	20	13	0	0	1	0	0	2	4	0	0	16	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	1	0	0	0	3	0	0	3	0	0	16	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0
OTU1015	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	11	15	52	7	0	0	0	0	0	0	0	1	134	2	3	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	2	0	4	1	0	0	0	2	0	0	3	0	0	3	9	0	0	0	0	0
