"","CKU1","CKU3","CKU4","CKU5","CKU2","CLU1","CLU2","CLU3","CLU4","CLU5","JPU1","JPU2","JPU3","JPU4","JPU5","MHU1","MHU2","MHU3","MHU4","MHU5","YMU1","YMU2","YMU3","YMU4","YMU5"
"OTU1.Crenarchaeota.uncultured|archaeon",29,22,23,12,17,9,24,26,32,19,27,42,22,9,24,29,40,37,57,41,22,16,29,24,18
"OTU2.Crenarchaeota.uncultured|archaeon",22,21,9,6,21,1,7,20,10,4,9,17,14,1,12,2,4,7,7,3,18,15,23,22,14
"OTU3.Actinobacteriota.Pseudarthrobacter",2,7,5,3,4,3,3,9,7,13,16,20,1,8,11,9,12,9,6,8,13,19,14,15,22
"OTU4.Chloroflexi._",6,6,11,3,2,6,3,6,5,9,6,10,6,0,9,18,15,10,12,15,11,17,9,10,6
"OTU5.Proteobacteria.Acinetobacter",131,215,171,319,75,225,256,25,116,198,204,60,150,96,181,2,1,8,0,1,4,0,1,3,1
"OTU6.Cyanobacteria.Synechococcus|IR11",0,2,6,26,0,0,0,1,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU7.Proteobacteria._",4,3,4,2,2,1,0,1,6,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU8.Acidobacteriota.uncultured|Acidobacteria|bacterium",12,9,16,5,7,6,12,13,13,16,11,16,12,9,10,21,33,31,44,23,22,16,26,19,15
"OTU9.Actinobacteriota.uncultured|actinobacterium",8,3,7,9,4,4,2,0,6,2,2,1,2,1,2,1,2,2,10,10,1,0,0,1,0
"OTU10.Chloroflexi._",7,9,1,2,2,10,5,3,7,6,2,6,7,5,2,4,5,7,11,7,3,3,3,4,4
"OTU11.Methylomirabilota._",4,7,3,1,7,5,6,7,11,7,9,13,13,7,8,15,15,11,17,18,6,8,3,11,13
"OTU12.Chloroflexi._",5,5,7,7,3,6,3,13,7,12,7,10,8,4,3,10,7,9,9,7,18,18,10,10,17
"OTU13.Crenarchaeota.uncultured|archaeon",11,9,12,7,4,4,7,3,10,7,14,13,6,2,9,23,17,13,15,13,6,7,2,4,4
"OTU14.Proteobacteria._",8,0,8,5,2,1,1,0,6,2,4,7,3,3,1,9,5,3,3,1,2,2,2,2,0
"OTU15.Proteobacteria._",1,5,2,0,0,0,1,1,3,3,2,4,3,0,3,0,1,1,0,0,0,0,0,0,0
"OTU16.Crenarchaeota.uncultured|archaeon",7,11,6,4,7,13,4,18,16,5,5,19,15,4,8,4,4,11,9,2,8,4,25,6,7
"OTU17.Firmicutes.Planococcus",11,5,11,6,10,6,3,3,8,12,10,8,12,1,4,16,13,9,11,13,14,14,10,8,12
"OTU18.Actinobacteriota.Mycobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU19.Chloroflexi.uncultured|Chloroflexi|bacterium",6,6,2,5,1,0,1,4,0,5,4,1,4,1,3,3,2,5,6,2,1,2,4,3,3
"OTU20.Crenarchaeota.uncultured|archaeon",5,4,2,6,1,0,0,1,7,4,1,1,8,0,3,6,12,5,8,7,4,1,0,2,3
"OTU21.Cyanobacteria.Microcoleus|Es-Yyy1400",1,1,7,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU22.Chloroflexi._",8,5,3,1,3,1,0,4,2,3,1,5,8,1,5,4,0,9,6,5,2,0,2,3,6
"OTU23.Actinobacteriota.Blastococcus",2,1,0,3,2,6,3,7,5,3,1,5,1,0,2,4,1,2,2,3,3,4,3,4,7
"OTU24.Proteobacteria._",1,3,2,0,3,3,1,2,5,4,3,2,4,0,4,13,9,5,9,12,2,0,0,1,1
"OTU25.Acidobacteriota._",4,5,2,1,1,0,1,6,2,9,2,1,0,5,5,7,3,6,1,5,9,15,5,14,8
"OTU26.Myxococcota.Hyalangium",2,0,3,2,2,2,1,2,6,5,1,7,2,1,3,1,2,2,1,3,4,7,6,6,6
"OTU27.Acidobacteriota.RB41",7,4,5,5,2,0,2,7,6,8,6,9,12,7,6,11,8,10,9,14,10,9,13,12,10
"OTU28.Firmicutes.Bacillus",6,3,3,3,3,0,1,5,4,2,0,3,4,1,1,2,1,1,4,2,6,1,14,3,2
"OTU29.Proteobacteria._",0,4,1,1,0,0,0,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"OTU30.Proteobacteria._",1,1,2,0,0,1,2,2,2,1,1,0,3,3,2,3,5,2,5,4,4,2,0,2,3
"OTU31.Actinobacteriota.Marmoricola",1,7,5,5,6,1,3,5,7,6,4,4,3,2,5,13,8,3,7,11,1,6,3,7,1
"OTU32.Cyanobacteria._",1,0,2,8,1,0,0,0,0,0,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU33.Gemmatimonadota._",9,1,2,0,0,4,2,4,6,2,7,3,8,0,0,6,2,4,5,7,6,7,5,5,4
"OTU34.Proteobacteria.Steroidobacter",7,4,8,2,5,5,4,7,6,3,2,6,0,1,1,9,10,6,18,8,9,1,7,6,2
"OTU35.Proteobacteria.Methyloceanibacter",0,0,0,2,1,0,0,0,3,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0
"OTU37.Chloroflexi._",0,2,1,2,1,0,3,0,5,9,5,0,2,0,0,4,8,9,12,5,3,3,4,1,1
"OTU38.Actinobacteriota.Nonomuraea",2,1,0,3,1,1,2,0,1,1,1,3,4,1,1,4,2,4,0,3,4,6,1,1,0
"OTU39.Proteobacteria.Woeseia",4,0,3,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"OTU40.Chloroflexi.uncultured|Chloroflexi|bacterium",1,1,3,1,3,3,4,1,3,0,5,7,1,3,1,3,10,6,11,12,3,0,2,2,4
"OTU41.Acidobacteriota._",6,6,2,4,1,2,1,4,2,1,3,1,0,8,0,8,7,12,6,3,1,1,1,5,1
"OTU42.Planctomycetota.uncultured|planctomycete",7,5,7,7,4,1,2,7,1,0,3,8,6,3,6,8,10,17,17,3,9,4,6,6,5
"OTU43.Gemmatimonadota._",1,6,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU44.Planctomycetota.Pir4|lineage",9,11,7,7,8,0,3,3,7,6,2,17,3,2,9,5,9,5,6,2,12,9,1,5,0
"OTU45.Actinobacteriota.Streptomyces",4,4,4,4,1,9,1,3,5,4,2,4,1,2,5,2,3,1,0,2,3,6,2,3,5
"OTU46.Proteobacteria.Skermanella",3,4,3,2,2,1,0,4,0,4,3,4,1,0,0,3,5,3,3,4,5,4,3,6,7
"OTU47.Actinobacteriota.Gaiella",2,0,6,2,3,0,0,0,4,0,3,0,2,1,0,1,1,0,0,2,0,0,0,0,0
"OTU48.Actinobacteriota.Gaiella",1,0,0,0,1,1,3,2,1,0,1,1,1,0,3,2,0,1,3,1,0,1,0,1,0
"OTU49.Chloroflexi._",1,2,2,2,0,0,2,1,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
"OTU50.Proteobacteria.Acidibacter",0,8,1,1,1,2,1,4,2,5,1,2,2,3,3,0,3,0,0,1,3,4,2,3,2
"OTU51.Methylomirabilota._",1,1,1,0,1,2,0,0,3,3,1,1,4,1,1,6,9,6,9,13,0,0,0,0,1
"OTU52.Acidobacteriota._",1,0,1,0,0,0,0,3,7,2,0,1,0,0,0,1,2,2,1,0,3,3,4,2,1
"OTU53.Cyanobacteria._",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU54.Cyanobacteria.Synechococcus|IR11",0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU55.Acidobacteriota._",1,3,3,2,2,2,0,3,2,0,2,2,1,2,2,0,1,0,1,1,5,6,5,7,6
"OTU56.Actinobacteriota._",0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0
"OTU57.Chloroflexi._",2,1,5,0,0,0,0,0,2,0,2,0,3,0,0,1,0,1,1,1,0,0,0,0,0
"OTU58.Entotheonellaeota.Candidatus|Entotheonella",0,1,1,1,0,0,0,0,2,0,0,0,3,0,1,0,0,1,1,1,0,0,0,0,0
"OTU59.Chloroflexi._",1,6,4,0,1,0,1,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0
"OTU60.Actinobacteriota._",1,0,0,0,0,0,1,1,0,0,0,0,1,0,3,1,1,0,0,0,0,0,1,0,1
"OTU61.Chloroflexi._",6,1,5,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU62.Cyanobacteria.uncultured|cyanobacterium",0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU63.Chloroflexi.uncultured|soil|bacterium",0,1,1,7,2,6,2,1,2,2,1,1,0,0,2,1,3,1,3,0,1,1,2,0,1
"OTU64.Acidobacteriota._",7,4,2,4,3,0,2,5,2,5,1,1,1,3,2,5,6,2,1,7,2,3,4,3,9
"OTU65.Acidobacteriota._",0,0,0,0,0,0,0,0,0,0,0,0,0,101,1,0,0,0,0,0,0,0,0,0,0
"OTU66.Planctomycetota._",4,2,4,3,2,1,3,5,3,0,0,2,7,1,6,10,6,7,8,6,5,2,5,5,4
"OTU67.Acidobacteriota.Subgroup|10",0,3,4,1,2,3,3,1,4,5,4,1,2,4,4,6,3,5,0,1,2,3,6,2,4
"OTU68.RCP2-54._",5,3,2,1,2,1,1,1,2,3,0,2,3,1,0,9,2,2,0,2,6,4,1,1,2
"OTU69.Crenarchaeota.uncultured|archaeon",2,2,5,5,2,0,2,1,8,1,3,0,2,1,1,0,0,1,0,0,1,0,0,3,0
"OTU70.Actinobacteriota.Kocuria",2,2,3,1,1,14,15,4,3,1,1,3,0,0,0,1,0,3,0,2,2,4,1,1,4
"OTU71.Proteobacteria._",0,1,2,1,1,0,2,0,1,1,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0
"OTU72.Actinobacteriota._",1,1,3,3,2,1,3,0,1,1,2,0,4,1,1,5,4,0,3,7,0,0,0,0,0
"OTU73.Firmicutes.Bacillus",0,3,0,0,1,1,0,1,2,4,2,2,5,0,2,2,3,6,2,5,1,1,0,0,5
"OTU74.Actinobacteriota.Quadrisphaera",2,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"OTU75.Planctomycetota._",5,0,3,1,3,24,6,17,1,10,2,5,8,3,9,11,10,9,12,16,7,8,12,12,9
"OTU76.Crenarchaeota.Candidatus|Nitrososphaera",1,1,2,0,8,0,3,11,5,3,6,6,7,3,1,3,4,4,3,0,8,12,10,13,9
"OTU77.Chloroflexi._",2,3,4,2,1,0,1,0,0,0,2,2,6,1,0,10,5,5,8,7,1,3,1,2,1
"OTU78.Cyanobacteria.Leptolyngbya|RV74",3,1,1,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU79.Proteobacteria.Bradyrhizobium",5,3,1,9,16,12,5,3,2,2,4,3,3,0,9,0,1,0,0,0,3,5,6,6,7
"OTU80.Chloroflexi.OLB13",2,1,0,3,1,1,8,0,1,2,0,0,0,2,1,3,2,0,2,1,0,0,0,1,2
"OTU81.Bacteroidota.Pontibacter",0,1,0,0,0,11,0,1,0,0,0,1,0,14,1,0,0,0,1,0,0,0,0,0,0
"OTU82.Proteobacteria._",6,2,0,3,1,4,4,2,3,0,5,12,4,3,1,4,3,3,3,4,4,3,1,2,6
"OTU83.Acidobacteriota.RB41",2,2,5,0,1,0,0,2,0,2,2,1,0,0,3,6,3,2,3,3,2,1,1,2,5
"OTU84.Proteobacteria.Pelagibius",2,1,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"OTU85.Chloroflexi._",4,3,2,2,0,0,1,0,0,0,0,1,3,0,0,0,0,2,0,4,1,0,0,0,1
"OTU86.Cyanobacteria.Tolypothrix",3,0,0,0,1,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
"OTU87.Myxococcota._",1,4,0,3,2,1,1,3,4,0,1,4,1,1,0,1,4,5,1,4,2,0,1,1,4
"OTU88.Proteobacteria._",3,3,2,1,1,9,0,0,5,0,1,0,1,1,2,3,2,2,1,3,0,0,0,0,0
"OTU89.Acidobacteriota._",3,4,2,4,4,1,7,11,2,6,9,12,5,2,6,11,13,8,12,9,14,10,17,13,14
"OTU90.Actinobacteriota.Actinoplanes",4,3,1,5,4,0,1,1,1,0,1,8,0,7,3,3,0,1,1,2,5,5,3,3,8
"OTU91.Chloroflexi._",0,4,1,3,0,0,0,0,1,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0
"OTU92.Firmicutes.Novibacillus",2,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,2,1,0,0,0,0
"OTU93.Firmicutes.Bacillus",1,1,9,3,0,6,3,5,3,0,2,4,2,2,5,5,4,4,1,2,6,9,1,4,5
"OTU94.Proteobacteria.Limibaculum",0,1,1,2,0,0,1,0,2,0,0,0,1,1,1,1,0,1,0,1,3,0,1,3,2
"OTU95.Chloroflexi._",0,2,0,0,0,0,0,0,1,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0
"OTU96.Firmicutes.Bacillus",5,3,1,6,0,3,2,1,4,2,2,3,3,1,1,12,4,6,4,1,2,0,2,1,1
"OTU97.Actinobacteriota._",0,1,1,2,2,0,3,3,2,2,2,1,1,1,2,2,4,6,7,7,6,2,2,7,5
"OTU98.Proteobacteria.Microvirga",2,4,0,2,2,3,0,5,2,1,2,2,2,1,4,2,2,5,1,3,8,4,9,4,2
"OTU99.Proteobacteria.Methyloceanibacter",0,1,1,0,0,2,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,1,0,2,1
"OTU100.Actinobacteriota._",2,2,0,3,0,1,3,4,4,1,0,1,6,1,2,3,4,1,1,0,7,8,4,7,2
"OTU101.Planctomycetota.Pir4|lineage",0,3,2,0,3,5,4,6,1,2,0,8,3,0,2,5,4,2,3,2,3,3,4,4,1
"OTU102.Chloroflexi._",1,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"OTU103.Gemmatimonadota._",0,0,1,0,0,0,1,0,1,0,3,1,0,0,0,3,6,0,3,2,5,4,2,5,7
"OTU104.Actinobacteriota.Streptomyces",0,0,2,0,1,11,1,4,4,3,2,2,0,0,0,2,3,2,4,7,5,1,7,2,5
"OTU105.Chloroflexi._",1,2,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU106.Actinobacteriota.Mycobacterium",1,2,1,1,2,45,3,1,4,4,2,3,3,4,1,1,2,1,1,0,1,5,4,1,2
"OTU107.Proteobacteria._",1,1,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU108.Cyanobacteria.Leptolyngbya|ANT.L52.2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU109.Proteobacteria.Lysobacter",0,0,0,1,1,4,1,1,2,0,1,0,5,1,0,4,1,2,2,3,0,0,0,1,2
"OTU110.Chloroflexi._",0,0,2,1,0,0,2,0,3,2,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0
"OTU111.Verrucomicrobiota.Chthoniobacter",5,1,0,1,3,2,0,7,5,2,8,3,1,0,4,7,5,4,2,1,2,1,4,6,5
"OTU112.Crenarchaeota.Candidatus|Nitrososphaera",5,5,2,2,4,5,3,5,4,4,8,6,2,0,5,6,8,4,8,9,4,5,1,3,9
"OTU113.Chloroflexi.uncultured|Chloroflexi|bacterium",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU114.Gemmatimonadota._",1,2,1,1,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"OTU115.Proteobacteria.MND1",1,0,2,1,2,1,1,5,1,0,1,2,0,3,3,8,7,5,1,2,4,3,0,4,2
"OTU116.Proteobacteria._",2,2,2,3,2,0,1,1,4,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU117.Proteobacteria.Nitrosospira",0,2,0,0,3,0,0,1,1,2,1,0,0,1,2,1,0,2,4,1,4,0,4,3,2
"OTU118.Gemmatimonadota._",0,0,1,0,0,0,5,2,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,1
"OTU119.Proteobacteria.Skermanella",0,0,0,1,0,8,2,2,1,0,1,2,2,0,3,1,3,0,2,0,2,2,0,1,3
"OTU120.Proteobacteria.Pelagibius",0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU121.Acidobacteriota.uncultured|Acidobacteria|bacterium",5,2,10,1,0,0,0,0,1,0,1,0,1,0,1,0,2,3,2,2,0,3,0,0,0
"OTU122.Acidobacteriota._",0,0,0,2,0,0,1,2,0,0,4,1,1,0,1,0,2,0,2,1,2,1,1,0,2
"OTU123.Chloroflexi._",0,2,0,2,0,0,0,1,2,0,1,0,0,0,2,5,4,0,2,1,1,0,0,1,0
"OTU124.Chloroflexi._",2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU125.Chloroflexi._",2,2,3,3,0,1,0,0,5,1,2,4,0,1,1,1,1,0,0,1,1,0,0,1,1
"OTU126.Planctomycetota.Pirellula",4,3,3,1,1,2,5,0,2,6,1,4,1,1,6,6,3,5,6,9,0,0,1,0,0
"OTU127.Actinobacteriota._",2,4,0,2,0,0,1,0,1,0,2,3,0,0,2,1,4,5,3,3,3,0,0,1,0
"OTU128.Planctomycetota._",8,0,1,0,3,0,0,1,0,3,2,2,0,4,1,6,6,4,3,7,0,1,1,0,1
"OTU129.Acidobacteriota._",2,2,0,1,1,2,0,1,3,2,1,2,1,0,0,0,3,1,2,0,2,0,1,3,1
"OTU130.Firmicutes.Bacillus",4,3,0,2,0,1,1,3,3,0,1,0,1,0,1,4,4,3,1,6,5,1,2,0,0
"OTU131.Actinobacteriota.Nocardioides",1,4,6,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,1,3,0,2,1,1
"OTU132.Bacteroidota.Zeaxanthinibacter",0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU133.Acidobacteriota.uncultured|Acidobacteriales|bacterium",0,2,0,0,1,0,0,0,0,0,1,0,1,23,3,0,0,1,0,0,0,0,0,1,0
"OTU134.Actinobacteriota._",2,3,5,0,0,8,0,3,1,4,2,0,2,0,1,3,4,1,1,1,1,2,6,6,3
"OTU135.Cyanobacteria.Nodosilinea|PCC-7104",0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU136.Planctomycetota.metagenome",1,2,1,1,5,0,2,0,3,2,1,4,4,1,2,8,7,6,8,2,1,1,0,1,0
"OTU137.Chloroflexi.uncultured|Chloroflexi|bacterium",0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"OTU138.Firmicutes.Planifilum",1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU139.Actinobacteriota.Actinosynnema",1,3,0,0,1,2,1,5,1,2,1,0,2,0,1,0,2,0,2,0,2,4,1,4,2
"OTU140.Dadabacteria._",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU141.Chloroflexi._",0,0,0,2,0,1,2,2,0,1,0,2,4,1,3,1,6,1,0,0,5,1,1,0,6
"OTU142.Nitrospirota.Nitrospira",2,2,0,3,0,0,1,4,2,1,1,2,0,3,1,2,1,1,2,0,2,4,4,2,1
"OTU143.Acidobacteriota._",0,0,0,0,0,0,1,4,4,3,1,1,0,1,2,1,0,1,0,0,4,4,2,2,5
"OTU144.Gemmatimonadota._",0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"OTU145.Chloroflexi._",1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
