#OTU ID	CKB1	CKB2	CKB3	CKB4	CKB5	CKB6	CKB7	CKB8	CKJ1	CKJ10	CKJ2	CKJ3	CKJ4	CKJ5	CKJ6	CKJ7	CKJ8	CKJ9	CKU1	CKU2	CKU3	CKU4	CKU5	CKU6	CKU7	CKU8	CKY1	CKY2	CKY3	CKY4	CKY5	CLU1	CLU2	CLU3	CLU4	CLU5	DDH1	DDH2	DDH3	DDL2	DDL22	DDL3	DDL4	DDN1	DDN2	DDN3	DDN4	DDN5	GLH1	GLH2	GLH3	GLL2	GLL3	GLL4	GLN1	GLN2	GLN3	GLN4	GLN5	JPU1	JPU2	JPU3	JPU4	JPU5	MHU1	MHU2	MHU3	MHU4	MHU5	TGH1	TGH2	TGH3	TGL2	TGL3	TGL4	TJH1	TJH2	TJH3	TJL2	TJL3	TJL4	TJN1	TJN2	TJN3	TJN4	TJN5	YMH1	YMH2	YMH3	YML2	YML3	YML4	YMN1	YMN2	YMN3	YMN4	YMN5	YMU1	YMU2	YMU3	YMU4	YMU5
OTU1	87	108	1	3	3	2	166	358	260	7	360	320	0	234	23	2	26	635	107	6	56	68	31	36	81	113	1184	1576	1410	911	678	37	125	220	142	75	554	245	528	7	1176	1335	732	1112	1370	832	838	913	1004	600	468	1319	1648	1158	1525	1594	4573	2055	1374	160	155	22	80	155	2898	3784	5981	4363	4000	1292	1206	874	828	960	1154	1377	1221	646	993	1230	1422	1226	1405	435	1136	1418	701	800	804	1542	850	1807	2071	1300	1117	1404	1284	1757	728	969	1516	1089
OTU10	38	29	2	3	0	2	12	61	115	0	97	166	3	95	7	0	55	185	14	2	19	9	8	5	12	13	447	360	542	254	313	32	30	30	26	23	266	187	285	4	564	613	353	188	296	257	420	281	523	331	257	603	697	465	233	214	1193	401	290	7	17	7	27	22	345	451	869	827	481	447	405	411	350	491	764	538	485	363	404	400	524	372	814	149	319	503	357	460	491	494	372	607	426	378	387	432	329	371	236	203	473	428
OTU100	7	12	0	0	0	2	2	38	10	1	39	23	4	25	4	0	8	81	8	0	4	1	5	2	4	3	34	49	41	64	44	3	14	31	18	2	22	17	11	0	58	72	42	149	227	53	43	133	173	42	19	168	182	162	242	246	338	292	256	12	4	6	4	8	139	209	353	158	162	86	69	130	132	120	152	87	48	19	66	45	69	228	266	58	122	203	34	23	26	98	75	188	388	148	210	189	292	429	301	252	513	351
OTU1000	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	4	0	0	3	0	8	4	0	0	0	0	0	0	0	0	5	0	3	0	2	0	0	0	4	0	0	4	6	3	3	1	0	4	0	0	1	94	42	112	46	32	0	0	0	2	0	0	0	0	0	1	0	0	2	0	2	0	6	0	0	0	0	0	1	2	1	3	0	4	47	15	19	40	37
OTU1001	2	0	0	0	0	0	0	11	0	0	2	0	0	0	0	0	0	3	0	0	0	1	0	0	4	0	2	21	0	21	4	0	6	8	3	0	2	0	1	0	0	0	1	30	24	3	12	8	5	1	0	22	7	4	30	28	20	29	17	1	1	0	0	5	45	32	41	25	50	0	0	8	40	20	0	4	3	1	6	0	9	18	16	12	32	26	1	2	2	14	10	29	21	5	14	10	26	16	3	34	16	8
OTU1002	2	1	0	0	0	2	2	0	0	0	2	4	0	15	0	0	0	2	0	0	0	0	0	0	1	0	26	6	5	4	8	2	0	2	1	0	8	1	23	0	13	4	9	34	18	1	24	0	3	14	7	2	32	7	4	10	51	32	11	0	0	2	2	3	5	8	20	9	8	21	9	8	1	16	38	8	8	10	3	0	22	14	10	2	52	6	10	8	6	119	11	23	18	2	7	57	5	6	0	3	31	14
OTU1003	0	0	1	0	0	0	2	3	0	0	3	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	2	5	0	2	1	6	2	9	3	3	0	0	0	59	36	115	114	75	1	0	0	1	0	0	0	0	0	0	5	2	0	6	0	1	0	0	0	0	0	0	5	1	1	0	3	1	15	5	6	2	6
OTU1004	0	0	0	0	0	0	1	5	0	0	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0	24	0	0	0	2	0	2	0	0	0	0	0	0	1	9	9	0	1	1	2	0	0	19	2	7	7	0	8	15	12	1	0	0	0	0	10	6	12	5	19	1	0	0	5	0	0	0	0	0	10	0	6	17	1	3	11	15	0	0	1	12	3	19	22	11	1	3	19	31	36	29	60	36
OTU1005	0	0	0	0	0	0	0	0	27	0	8	8	0	2	0	0	0	6	0	0	0	0	0	0	0	0	4	0	31	2	2	0	0	0	0	0	24	60	8	0	9	11	5	1	0	25	6	0	5	3	4	0	5	7	0	2	46	0	0	0	0	0	0	0	0	0	1	0	0	31	31	2	1	0	14	12	17	76	1	7	2	1	0	7	3	0	43	20	21	9	0	7	0	0	2	8	0	0	0	0	0	0
OTU1006	0	0	0	0	0	0	0	0	14	6	9	5	0	0	0	0	0	2	1	0	0	0	0	0	0	0	20	15	89	6	14	0	3	0	0	0	20	33	19	0	16	13	0	0	0	3	13	0	10	7	6	6	10	2	0	4	33	6	5	0	0	0	0	0	0	0	0	0	0	23	55	13	0	7	7	21	40	30	5	35	17	3	5	6	0	2	4	24	21	13	3	18	4	7	2	9	3	0	0	0	0	0
