"","CKU1","CKU3","CKU4","CKU5","CKU2","CLU1","CLU2","CLU3","CLU4","CLU5","JPU1","JPU2","JPU3","JPU4","JPU5","MHU1","MHU2","MHU3","MHU4","MHU5","YMU1","YMU2","YMU3","YMU4","YMU5"
"OTU3.p:Evosea-Evosea_X.g:Filamoeba",11,12,15,13,6,30,14,18,20,13,13,30,19,15,17,21,23,27,15,33,72,100,73,63,71
"OTU5.p:Chlorophyta-Chlorophyta_X.g:Chlorosarcinopsis",26,52,10,9,14,8,5,14,34,3,20,6,17,4,119,2,0,0,0,3,1,2,0,3,0
"OTU9.p:Chlorophyta-Chlorophyta_X.g:Protosiphon",6,29,12,20,152,5,17,17,19,4,18,21,19,5,12,8,3,6,73,3,5,2,1,3,4
"OTU10.p:Chlorophyta-Chlorophyta_X.g:Chlamydomonadales_XX",10,11,7,14,14,10,7,24,14,12,23,15,10,14,13,81,38,23,31,40,37,79,33,173,67
"OTU14.p:Chlorophyta-Chlorophyta_X.g:Protoderma",3,7,9,4,76,6,2,4,3,6,116,4,1,1,2,5,2,5,2,1,0,3,0,9,9
"OTU15.p:Chlorophyta-Chlorophyta_X.g:Wislouchiella",11,10,78,180,11,3,2,3,16,4,0,0,1,0,21,0,0,0,0,0,0,0,0,1,0
"OTU20.p:Alveolata-Ciliophora.g:Oxytrichidae_X",21,46,51,53,42,37,41,70,42,43,25,66,83,24,50,116,87,56,170,53,36,23,37,41,26
"OTU21.p:Chlorophyta-Chlorophyta_X.g:Coelastrella",6,263,2,1,28,13,4,11,10,3,4,10,2,2,7,0,0,2,1,0,2,0,0,1,0
"OTU24.p:Chlorophyta-Chlorophyta_X.g:Chlamydomonadales_XX",9,28,15,35,19,11,3,16,15,13,13,9,18,5,11,84,60,32,52,74,29,45,5,63,13
"OTU25.p:Tubulinea-Tubulinea_X.g:Ptolemeba",3,2,0,0,7,7,10,0,1,40,0,9,11,0,12,1,0,0,0,0,0,17,2,4,2
"OTU26.p:Alveolata-Apicomplexa.g:Monocystis",0,0,0,22,6,6,15,1,4,9,1,0,16,3,2,0,2,1,0,0,0,0,0,0,0
"OTU27.p:Evosea-Evosea_X.g:Variosea_XXX",6,8,3,5,6,8,9,7,6,9,6,6,5,2,9,0,4,1,7,1,5,2,6,3,6
"OTU28.p:Stramenopiles-Gyrista.g:Heterococcus",8,18,11,11,9,17,4,2,17,9,10,10,13,5,14,40,29,26,20,24,40,18,7,39,23
"OTU29.p:Discosea-Discosea_X.g:Vexillifera",1,0,5,37,1,1,2,2,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0
"OTU30.p:Stramenopiles-Gyrista.g:Spumella",11,13,7,8,12,11,7,8,11,26,8,8,34,13,11,12,13,14,8,6,35,37,9,25,30
"OTU31.p:Evosea-Evosea_X.g:Acramoebidae_X",2,2,5,0,4,4,3,5,7,7,1,3,12,3,7,2,5,6,2,5,19,4,7,7,5
"OTU33.p:Evosea-Evosea_X.g:Flamella",13,17,9,9,16,15,19,12,20,12,6,13,28,4,20,8,14,6,6,13,14,13,13,34,30
"OTU34.p:Evosea-Evosea_X.g:Flamella",5,7,5,3,16,9,10,11,14,13,9,9,10,1,11,5,22,13,9,5,7,7,14,8,8
"OTU35.p:Evosea-Evosea_X.g:Filamoeba",3,1,4,5,7,0,3,2,4,9,0,1,0,2,4,5,3,4,3,9,6,5,0,1,4
"OTU36.p:Stramenopiles-Bigyra.g:Aplanochytrium",0,4,1,1,1,4,4,8,10,0,2,0,13,2,4,0,0,0,0,4,0,0,0,0,0
"OTU40.p:Evosea-Evosea_X.g:AND16-lineage_X",10,12,9,11,8,16,17,19,6,13,9,12,18,8,14,10,16,20,3,14,30,14,135,8,17
"OTU41.p:Evosea-Evosea_X.g:Ceratiomyxella",6,6,4,5,7,5,3,13,4,9,9,9,10,1,4,10,10,18,25,11,10,2,7,10,12
"OTU43.p:Chlorophyta-Chlorophyta_X.g:Hemiflagellochloris",3,16,29,14,11,7,8,11,15,11,10,10,9,4,7,21,16,31,10,51,9,5,0,16,4
"OTU46.p:Stramenopiles-Bigyra.g:Labyrinthula",0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
"OTU47.p:Chlorophyta-Chlorophyta_X.g:Colemanosphaera",3,4,5,8,7,3,7,4,16,6,3,1,6,4,11,7,2,8,3,1,0,1,0,0,0
"OTU49.p:Evosea-Evosea_X.g:Ceratiomyxella",4,3,4,6,2,2,7,8,6,3,5,9,3,1,9,3,1,9,1,2,5,0,2,2,2
"OTU50.p:Evosea-Evosea_X.g:Filamoeba",7,2,5,4,2,4,10,1,9,5,3,6,10,3,0,11,11,1,6,7,5,15,12,9,9
"OTU51.p:Rhizaria-Cercozoa.g:Neoheteromita",0,8,1,4,1,12,1,6,3,6,7,7,1,4,9,2,13,8,5,8,4,5,1,1,4
"OTU53.p:Evosea-Evosea_X.g:Variosea_XXX",3,8,5,2,5,7,2,3,2,1,3,2,6,1,3,3,5,3,6,43,0,1,0,1,0
"OTU54.p:Tubulinea-Tubulinea_X.g:Nolandellidae_X",2,9,1,3,1,6,2,4,1,15,2,1,5,1,6,5,43,11,6,7,0,3,0,11,0
"OTU58.p:Stramenopiles-Gyrista.g:Vischeria",0,0,2,0,50,1,2,0,2,2,9,3,9,4,4,0,0,0,0,0,0,4,0,3,4
"OTU59.p:Stramenopiles-Bigyra.g:Labyrinthulaceae_ANT10_3",3,4,5,8,3,8,1,7,8,0,4,1,6,6,5,1,0,2,1,5,1,0,0,0,0
"OTU60.p:Chlorophyta-Chlorophyta_X.g:Chlamydomonas",5,2,68,1,3,0,2,1,4,4,1,0,3,5,3,13,4,14,66,7,0,0,0,2,0
"OTU62.p:Evosea-Evosea_X.g:Variosea_XXX",0,0,25,1,1,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"OTU65.p:Evosea-Evosea_X.g:Filamoeba",4,1,2,2,4,0,1,2,1,0,1,2,0,0,6,1,1,1,1,0,0,1,2,5,1
"OTU66.p:Chlorophyta-Chlorophyta_X.g:Chlorosarcinopsis",2,3,5,2,8,0,71,9,6,2,4,5,11,1,4,3,3,1,30,1,9,15,8,15,17
"OTU67.p:Evosea-Evosea_X.g:Flamella",0,0,3,1,1,2,4,5,2,6,1,4,0,0,1,0,1,0,1,0,0,3,0,0,0
"OTU68.p:Evosea-Evosea_X.g:Ceratiomyxella",3,0,2,1,1,4,9,5,1,2,9,2,2,7,15,1,2,2,4,0,0,1,0,1,1
"OTU69.p:Evosea-Evosea_X.g:Flamella",4,3,1,3,9,6,4,1,3,3,3,9,6,2,14,0,5,5,2,1,10,6,6,24,7
