#OTU ID	CKB1	CKB2	CKB3	CKB4	CKB5	CKB6	CKB7	CKB8	CKJ1	CKJ10	CKJ2	CKJ3	CKJ4	CKJ5	CKJ6	CKJ7	CKJ8	CKJ9	CKU1	CKU2	CKU3	CKU4	CKU5	CKU6	CKU7	CKU8	CKY1	CKY2	CKY3	CKY4	CKY5	CLU1	CLU2	CLU3	CLU4	CLU5	DDH1	DDH2	DDH3	DDL2	DDL22	DDL3	DDL4	DDN1	DDN2	DDN3	DDN4	DDN5	GLH1	GLH2	GLH3	GLL2	GLL3	GLL4	GLN1	GLN2	GLN3	GLN4	GLN5	JPU1	JPU2	JPU3	JPU4	JPU5	MHU1	MHU2	MHU3	MHU4	MHU5	TGH1	TGH2	TGH3	TGL2	TGL3	TGL4	TJH1	TJH2	TJH3	TJL2	TJL3	TJL4	TJN1	TJN2	TJN3	TJN4	TJN5	YMH1	YMH2	YMH3	YML2	YML3	YML4	YMN1	YMN2	YMN3	YMN4	YMN5	YMU1	YMU2	YMU3	YMU4	YMU5
OTU1	22	123	30	13	34	30	67	595	34	50	153	54	2	94	82	20	47	37	64	1	30	103	13	36	53	80	628	3036	488	513	373	137	57	40	1374	14	800	225	915	25	530	639	494	314	341	393	321	419	22374	30525	1425	10516	6266	5089	51637	58419	5765	50240	31585	52	27	12	45	57	1456	1502	528	1378	2384	19861	51958	39638	23158	62861	21017	600	1938	351	540	884	1122	628	298	376	884	557	941	3657	2890	2482	3259	4964	2528	11431	4485	3893	3300	4912	595	2857	2832	804
OTU10	0	0	1	0	0	0	54	70	0	2	0	2	0	0	0	1	0	0	57	5	34	24	20	23	63	58	2	3	1	1	3	23	68	51	89	20	3	3	2	0	7	8	4	5	4	2	0	3	0	2	2	7	10	4	540	292	261	206	355	62	32	10	39	76	10306	4326	4401	3694	5939	1	3	10	1	7	0	6	5	0	7	6	5	5	7	0	3	20	8	13	3	2	3	3	98	389	163	1180	349	1938	6086	2495	20404	5789
OTU100	4	12	13	1	0	4	11	6	14	2	14	7	0	1	4	0	1	7	3	0	8	3	6	3	4	4	490	520	1878	178	697	23	54	7	31	14	59	79	196	2	171	55	94	210	456	176	349	287	78	66	60	182	273	65	310	288	2645	157	511	20	6	6	12	30	270	171	929	37	363	149	168	442	78	148	451	31	114	74	40	73	69	254	26	185	130	308	124	217	40	44	30	115	1010	281	144	422	417	87	83	340	702	251
OTU1000	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	5	0	3	0	11	6	0	14	3	1	0	1	0	0	0	12	0	1	16	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4	11	0	2	7	0	2	0	0	1	1	3	1	1	0	8	4	0	0	0	30	29	0	6	7	0	359	3	0	0	1	22	0
OTU1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	43	3	0	0	0	0	2	0	0	196	56	76	66	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	20	0	0	0
OTU1002	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	17	0	38	0	2	0	0	0	4	0	0	0	3	2	0	0	3	3	8	20	5	60	90	0	85	34	7	1	10	0	1	6	0	0	0	0	1	0	10	5	0	2	0	2	44	17	33	0	0	3	3	2	0	58	20	1	6	3	66	1	2	0	6	24	3	22	18	5	5	21	66	0	1	57	77
OTU1003	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	1	1	1	0	2	0	0	2	0	3	3	1	1	22	0	2	0	1	0	1	20	231	3	133	37	0	0	0	0	1	2	6	2	2	2	0	1	0	0	2	5	3	4	1	3	2	3	7	3	3	0	1	2	0	0	0	0	0	143	12	49	57	17	43	21	50	8	0
OTU1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	1	3	0	4	0	32	254	0	113
OTU1005	0	1	0	0	0	0	0	0	0	0	0	2	0	0	15	0	0	0	0	0	6	0	0	0	1	3	67	16	22	23	26	0	0	0	0	0	2	4	3	0	11	20	116	2	22	7	28	3	5	50	104	10	19	12	13	3	23	3	4	0	0	0	0	0	0	0	2	0	3	1	17	10	0	69	2	2	3	2	4	6	22	9	34	8	7	10	11	1	0	37	20	220	5	9	18	33	11	0	1	1	0	2
OTU1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	4	0	0	0	1	0	0	0	0	0	0	1	503	0	2	0	0	1	0	8	3	3	0	3	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	2	3	0	0	4	2	5	2	0	1	0	3	4	1	0	3	0	0	0	0	0
