sample.id,plants,group,site,country,longitude,latitude,altitude,pH,salt_content,avail_p,tn,tc,tp
YMU1,Maize,YM,"Yangiyul District, Uzbekistan",Uzbekistan,41.135941,69.015519,363.6,7.84,0.78,3.3,0.095,2.996,0.064716312
YMU2,Maize,YM,"Yangiyul District, Uzbekistan",Uzbekistan,41.135941,69.015519,363.6,7.79,0.79,4,0.092,3.114,0.068602904
YMU3,Maize,YM,"Yangiyul District, Uzbekistan",Uzbekistan,41.135941,69.015519,363.6,7.77,0.65,3.6,0.11,3.136,0.066523988
YMU4,Maize,YM,"Yangiyul District, Uzbekistan",Uzbekistan,41.135941,69.015519,363.6,7.79,0.37,2.8,0.097,3.138,0.064713766
YMU5,Maize,YM,"Yangiyul District, Uzbekistan",Uzbekistan,41.135941,69.015519,363.6,7.77,0.61,4.4,0.078,2.962,0.063046402
MHU1,Cotton,MH,"UZMirzachul District, Uzbekistan",Uzbekistan,40.617498,68.202218,267.3,7.73,0.56,12.5,0.096,2.471,0.076716468
MHU2,Cotton,MH,"UZMirzachul District, Uzbekistan",Uzbekistan,40.617498,68.202218,267.3,7.56,1.51,17.5,0.105,2.472,0.080006824
MHU3,Cotton,MH,"UZMirzachul District, Uzbekistan",Uzbekistan,40.617498,68.202218,267.3,7.63,1.26,11.3,0.096,2.513,0.076949443
MHU4,Cotton,MH,"UZMirzachul District, Uzbekistan",Uzbekistan,40.617498,68.202218,267.3,7.54,1.81,17.5,0.114,2.58,0.080029504
MHU5,Cotton,MH,"UZMirzachul District, Uzbekistan",Uzbekistan,40.617498,68.202218,267.3,7.6,0.98,10.1,0.096,2.394,0.083680424
CLU1,Tamarix chinensis,CL,"Forish District, Uzbekistan",Uzbekistan,40.594272,67.614429,248.7,7.21,12.13,10.4,0.131,2.104,0.03158478
CLU2,Tamarix chinensis,CL,"Forish District, Uzbekistan",Uzbekistan,40.594272,67.614429,248.7,7.32,12.65,5.2,0.077,1.495,0.024458421
CLU3,Tamarix chinensis,CL,"Forish District, Uzbekistan",Uzbekistan,40.594272,67.614429,248.7,7.15,12.03,8.8,0.123,1.992,0.031457846
CLU4,Tamarix chinensis,CL,"Forish District, Uzbekistan",Uzbekistan,40.594272,67.614429,248.7,7.25,10.57,5.8,0.063,1.213,0.022553588
CLU5,Tamarix chinensis,CL,"Forish District, Uzbekistan",Uzbekistan,40.594272,67.614429,248.7,7.3,10.71,3.7,0.066,1.418,0.021050599
JPU1,Suaeda,JP,"Aydar Lake, Uzbekistan",Uzbekistan,40.591839,67.613931,246,8.72,43.08,2.9,0.043,1.596,0.029065744
JPU2,Suaeda,JP,"Aydar Lake, Uzbekistan",Uzbekistan,40.591839,67.613931,246,8.74,45.26,2.2,0.038,1.582,0.029560811
JPU3,Suaeda,JP,"Aydar Lake, Uzbekistan",Uzbekistan,40.591839,67.613931,246,8.8,63.17,3.4,0.067,1.937,0.029087086
JPU4,Suaeda,JP,"Aydar Lake, Uzbekistan",Uzbekistan,40.591839,67.613931,246,8.73,39.44,1.7,0.042,1.63,0.029888828
JPU5,Suaeda,JP,"Aydar Lake, Uzbekistan",Uzbekistan,40.591839,67.613931,246,8.85,60.56,2.1,0.04,1.597,0.026072787
CKU1,Bare land,LD,"Aydar Lake, Uzbekistan",Uzbekistan,40.591839,67.613931,246,8.83,17.51,1.7,0.022,0.743,0.013052796
CKU2,Bare land,LD,"Aydar Lake, Uzbekistan",Uzbekistan,40.591839,67.613931,246,8.81,18.19,1.8,0.035,0.803,0.012394467
CKU3,Bare land,LD,"Aydar Lake, Uzbekistan",Uzbekistan,40.591839,67.613931,246,8.79,29.71,2,0.035,1.184,0.022061419
CKU4,Bare land,LD,"Aydar Lake, Uzbekistan",Uzbekistan,40.591839,67.613931,246,8.79,42.8,2.2,0.044,1.457,0.025008684
CKU5,Bare land,LD,"Aydar Lake, Uzbekistan",Uzbekistan,40.591839,67.613931,246,8.89,28.19,2.2,0.063,1.58,0.025395034
