,V1,V2,V3,V4,V6,V7,V8,V9,V10,V11,V12,V5_2,V5_3,V5_4,V5_5,V5_6,V5_7,V5_8,V5_1_1,V5_1_2,OTU.ID
1,OTU3,398,1,398,1802,552,949,100,730,0,99.749,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Variosea_X,f:Filamoebidae,g:Filamoeba,s:Filamoeba_sp,AB425944.1.1802_U;tax,k:Eukaryota,OTU3.p:Evosea-Evosea_X.g:Filamoeba
2,OTU5,396,1,396,1182,463,858,100,721,0,99.495,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorophyceae,o:Chlamydomonadales,f:Chlamydomonadales_X,g:Chlorosarcinopsis,s:Chlorosarcinopsis_sp,MG825902.1.1182_U;tax,k:Eukaryota,OTU5.p:Chlorophyta-Chlorophyta_X.g:Chlorosarcinopsis
3,OTU9,397,1,397,1698,526,922,100,723,0,99.496,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorophyceae,o:Chlamydomonadales,f:Chlamydomonadales_X,g:Protosiphon,s:Protosiphon_sp,MH651228.1.1698_U;tax,k:Eukaryota,OTU9.p:Chlorophyta-Chlorophyta_X.g:Protosiphon
4,OTU10,398,1,398,1683,536,933,100,725,0,99.497,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorophyceae,o:Chlamydomonadales,f:Chlamydomonadales_X,g:Chlamydomonadales_XX,s:Chlamydomonadales_XX_sp,AB721037.1.1683_U;tax,k:Eukaryota,OTU10.p:Chlorophyta-Chlorophyta_X.g:Chlamydomonadales_XX
5,OTU14,397,1,397,1621,566,962,100,723,0,99.496,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Ulvophyceae,o:Ulotrichales,f:Ulotrichales_X,g:Protoderma,s:Protoderma_sarcinoidea,GQ121000.1.1621_U;tax,k:Eukaryota,OTU14.p:Chlorophyta-Chlorophyta_X.g:Protoderma
6,OTU15,396,1,396,1790,581,976,100,693,0,98.232,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorophyceae,o:Chlamydomonadales,f:Chlamydomonadales_X,g:Wislouchiella,s:Wislouchiella_planctonica,AF252547.1.1790_U;tax,k:Eukaryota,OTU15.p:Chlorophyta-Chlorophyta_X.g:Wislouchiella
7,OTU20,394,1,394,1039,5,398,100,723,0,99.746,d:TSAR,p:Alveolata-Ciliophora,c:Spirotrichea,o:Hypotrichia,f:Oxytrichidae,g:Oxytrichidae_X,s:Oxytrichidae_X_sp,FN867179.1.1039_U;tax,k:Eukaryota,OTU20.p:Alveolata-Ciliophora.g:Oxytrichidae_X
8,OTU21,396,1,396,2805,953,1348,100,726,0,99.747,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorophyceae,o:Sphaeropleales,f:Sphaeropleales_X,g:Coelastrella,s:Coelastrella_striolata,MZ736635.1.2805_U;tax,k:Eukaryota,OTU21.p:Chlorophyta-Chlorophyta_X.g:Coelastrella
9,OTU24,396,1,396,1776,580,975,100,704,0,98.737,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorophyceae,o:Chlamydomonadales,f:Chlamydomonadales_X,g:Chlamydomonadales_XX,s:Chlamydomonadales_XX_sp,EF023257.1.1776_U;tax,k:Eukaryota,OTU24.p:Chlorophyta-Chlorophyta_X.g:Chlamydomonadales_XX
10,OTU25,413,1,413,1927,636,1052,100,307,2.87e-82,80.378,d:Amoebozoa,p:Tubulinea-Tubulinea_X,c:Elardia,o:Euamoebida,f:LOS7N/I-lineage,g:Ptolemeba,s:Ptolemeba_bulliensis,KJ542108.1.1927_U;tax,k:Eukaryota,OTU25.p:Tubulinea-Tubulinea_X.g:Ptolemeba
11,OTU26,390,1,390,1762,572,961,100,660,0,97.179,d:TSAR,p:Alveolata-Apicomplexa,c:Gregarinomorphea,o:Neogregarinorida,f:Actinocephalidae,g:Monocystis,s:Monocystis_sp,EF024130.1.1762_U;tax,k:Eukaryota,OTU26.p:Alveolata-Apicomplexa.g:Monocystis
12,OTU27,407,1,407,1877,592,1000,100,383,4.56e-105,83.816,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Variosea_X,f:Variosea_XX,g:Variosea_XXX,s:Variosea_XXX_sp,EF024417.1.1877_U;tax,k:Eukaryota,OTU27.p:Evosea-Evosea_X.g:Variosea_XXX
13,OTU28,407,1,407,1738,559,965,100,747,0,99.754,d:TSAR,p:Stramenopiles-Gyrista,c:Xanthophyceae,o:Xanthophyceae_X,f:Xanthophyceae_XX,g:Heterococcus,s:Heterococcus_pleurococcoides,AJ579335.1.1738_U;tax,k:Eukaryota,OTU28.p:Stramenopiles-Gyrista.g:Heterococcus
14,OTU29,403,276,403,1941,934,1061,32,154,3.85e-36,88.281,d:Amoebozoa,p:Discosea-Discosea_X,c:Flabellinia,o:Dactylopodida,f:Vexilliferidae,g:Vexillifera,s:Vexillifera_sp,JQ271774.1.1941_U;tax,k:Eukaryota,OTU29.p:Discosea-Discosea_X.g:Vexillifera
15,OTU30,401,1,401,1665,475,875,100,730,0,99.501,d:TSAR,p:Stramenopiles-Gyrista,c:Chrysophyceae,o:Ochromonadales,f:Ochromonadaceae,g:Spumella,s:Spumella_sp,AB749122.1.1665_U;tax,k:Eukaryota,OTU30.p:Stramenopiles-Gyrista.g:Spumella
16,OTU31,407,1,407,1817,560,966,100,459,7.37e-128,87.042,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Fractovitellida,f:Acramoebidae,g:Acramoebidae_X,s:Acramoebidae_X_sp,AB695507.1.1817_U;tax,k:Eukaryota,OTU31.p:Evosea-Evosea_X.g:Acramoebidae_X
17,OTU33,414,1,414,1455,553,958,100,315,1.72e-84,80.952,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Flamellidae,f:Flamella-lineage,g:Flamella,s:Flamella_pleistocenica,KP219431.1.1455_U;tax,k:Eukaryota,OTU33.p:Evosea-Evosea_X.g:Flamella
18,OTU34,409,1,409,1455,553,958,100,303,3.67e-81,80.668,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Flamellidae,f:Flamella-lineage,g:Flamella,s:Flamella_pleistocenica,KP219431.1.1455_U;tax,k:Eukaryota,OTU34.p:Evosea-Evosea_X.g:Flamella
19,OTU35,397,1,397,1802,552,949,100,335,1.26e-90,82.09,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Variosea_X,f:Filamoebidae,g:Filamoeba,s:Filamoeba_sp,AB425944.1.1802_U;tax,k:Eukaryota,OTU35.p:Evosea-Evosea_X.g:Filamoeba
