,V1,V2,V3,V4,V6,V7,V8,V9,V10,V11,V12,V5_2,V5_3,V5_4,V5_5,V5_6,V5_7,V5_1_1,V5_1_2,V5_1_3,V5_1_4,V5_1_5,OTU.ID
1,OTU1,262,1,216,503,287,503,82,383,7.79e-106,98.618,p__Ascomycota,c__Leotiomycetes,o__Thelebolales,f__Pseudeurotiaceae,g__Pseudogymnoascus,s__Pseudogymnoascus_roseus,Pseudogymnoascus_roseus,DQ117451,SH1477560.09FU,refs,k__Fungi,OTU1.p__Ascomycota.g__Pseudogymnoascus
2,OTU2,276,1,216,484,269,484,78,399,8.19e-111,100,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Stachybotryaceae,g__Striaticonidium,s__Striaticonidium_brachysporum,Striaticonidium_brachysporum,KU847232,SH1073990.09FU,refs,k__Fungi,OTU2.p__Ascomycota.g__Striaticonidium
3,OTU3,328,252,326,1125,89,12,23,69.4,3.15e-11,83.544,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum,Fusarium_oxysporum,UDB041458,SH1099032.09FU,reps,k__Fungi,OTU3.p__Ascomycota.g__Fusarium
4,OTU4,286,1,238,471,232,471,83,409,1.41e-113,97.5,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum,Fusarium_oxysporum,KJ801775,SH1079261.09FU,reps,k__Fungi,OTU4.p__Ascomycota.g__Fusarium
5,OTU5,269,1,229,504,278,504,85,394,3.7e-109,97.826,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,s__Chaetomium_nepalense,Chaetomium_nepalense,MH861591,SH2145427.09FU,refs,k__Fungi,OTU5.p__Ascomycota.g__Chaetomium
6,OTU6,297,241,295,1125,66,12,19,69.4,2.82e-11,89.091,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum,Fusarium_oxysporum,UDB041458,SH1099032.09FU,reps,k__Fungi,OTU6.p__Ascomycota.g__Fusarium
7,OTU7,269,1,209,493,286,493,78,379,1.04e-104,99.522,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Preussia,s__Preussia_sp,Preussia_sp,UDB05239316,SH0921821.09FU,reps,k__Fungi,OTU7.p__Ascomycota.g__Preussia
8,OTU8,263,1,201,439,238,439,76,339,1.72e-92,97.044,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Hypocreales_gen_Incertae_sedis,s__Hypocreales_sp,Hypocreales_sp,UDB03574003,SH1085542.09FU,reps,k__Fungi,OTU8.p__Ascomycota.g__Hypocreales_gen_Incertae_sedis
9,OTU9,266,1,206,473,268,473,77,375,1.32e-103,99.515,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Nectriaceae_gen_Incertae_sedis,s__Nectriaceae_sp,Nectriaceae_sp,KX515816,SH1110964.09FU,reps,k__Fungi,OTU9.p__Ascomycota.g__Nectriaceae_gen_Incertae_sedis
10,OTU10,277,1,224,523,300,523,81,414,2.94e-115,100,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Curvularia,s__Curvularia_fallax,Curvularia_fallax,MH855476,SH1933481.09FU,refs,k__Fungi,OTU10.p__Ascomycota.g__Curvularia
11,OTU11,274,1,241,510,275,510,88,407,4.85e-113,97.51,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,s__Alternaria_prunicola,Alternaria_prunicola,MH827035,SH1082575.09FU,refs,k__Fungi,OTU11.p__Ascomycota.g__Alternaria
12,OTU12,269,1,209,451,244,451,78,368,2.24e-101,98.565,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Preussia,s__Preussia_flanaganii,Preussia_flanaganii,AY943061,SH1082255.09FU,refs,k__Fungi,OTU12.p__Ascomycota.g__Preussia
13,OTU13,291,1,248,505,257,505,85,442,1.41e-123,98.795,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Clavicipitaceae,g__Metarhizium,s__Metarhizium_anisopliae,Metarhizium_anisopliae,KC147657,SH0901290.09FU,reps,k__Fungi,OTU13.p__Ascomycota.g__Metarhizium
14,OTU14,269,1,209,487,279,487,78,375,1.34e-103,99.043,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Botryotrichum,s__Botryotrichum_atrogriseum,Botryotrichum_atrogriseum,KX976589,SH0881584.09FU,refs,k__Fungi,OTU14.p__Ascomycota.g__Botryotrichum
15,OTU15,266,1,206,447,243,447,77,368,2.22e-101,99.029,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Cucurbitariaceae,g__Pyrenochaetopsis,s__Pyrenochaetopsis_indica,Pyrenochaetopsis_indica,LT623224,SH0994475.09FU,refs,k__Fungi,OTU15.p__Ascomycota.g__Pyrenochaetopsis
16,OTU16,301,1,241,517,277,517,80,424,5.31e-118,98.34,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Microascaceae,g__Cephalotrichum,s__Cephalotrichum_stemonitis,Cephalotrichum_stemonitis,LN850951,SH1070194.09FU,refs,k__Fungi,OTU16.p__Ascomycota.g__Cephalotrichum
17,OTU17,274,1,213,470,258,470,78,316,8.41e-86,93.458,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomiaceae_gen_Incertae_sedis,s__Chaetomiaceae_sp,Chaetomiaceae_sp,UDB01730467,SH0993202.09FU,reps,k__Fungi,OTU17.p__Ascomycota.g__Chaetomiaceae_gen_Incertae_sedis
18,OTU18,322,1,262,613,354,613,81,466,9.36e-131,98.855,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Candolleomyces,s__Candolleomyces_candolleanus,Candolleomyces_candolleanus,DQ389720,SH1250729.09FU,refs,k__Fungi,OTU18.p__Basidiomycota.g__Candolleomyces
19,OTU19,265,1,204,478,275,478,77,372,1.71e-102,99.51,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__Schizothecium,s__Schizothecium_sp,Schizothecium_sp,UDB06568671,SH0965329.09FU,reps,k__Fungi,OTU19.p__Ascomycota.g__Schizothecium
20,OTU20,369,1,308,602,296,602,83,562,1.34e-159,99.675,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierellaceae_gen_Incertae_sedis,s__Mortierellaceae_sp,Mortierellaceae_sp,UDB04691502,SH1213091.09FU,reps,k__Fungi,OTU20.p__Mortierellomycota.g__Mortierellaceae_gen_Incertae_sedis
21,OTU21,277,1,218,456,239,456,79,403,6.35e-112,100,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Nectria,s__Nectria_ramulariae,Nectria_ramulariae,AY677291,SH1239897.09FU,refs,k__Fungi,OTU21.p__Ascomycota.g__Nectria
22,OTU22,290,1,230,474,245,474,79,420,6.6e-117,99.565,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Stachybotryaceae,g__Stachybotrys,s__Stachybotrys_chartarum,Stachybotrys_chartarum,EF568081,SH1073994.09FU,refs,k__Fungi,OTU22.p__Ascomycota.g__Stachybotrys
23,OTU23,281,1,222,481,260,481,79,411,3.86e-114,100,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Bionectriaceae,g__Clonostachys,s__Clonostachys_eriocamporesii,Clonostachys_eriocamporesii,MN699133,SH1077305.09FU,refs,k__Fungi,OTU23.p__Ascomycota.g__Clonostachys
24,OTU24,366,1,306,591,286,591,84,499,1.06e-140,96.104,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Linnemannia,s__Linnemannia_amoeboidea,Linnemannia_amoeboidea,HQ630346,SH2088875.09FU,refs,k__Fungi,OTU24.p__Mortierellomycota.g__Linnemannia
25,OTU25,279,1,230,516,284,513,82,409,1.38e-113,98.701,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum,Fusarium_oxysporum,KF206433,SH1087535.09FU,reps,k__Fungi,OTU25.p__Ascomycota.g__Fusarium
26,OTU26,287,1,226,577,352,577,79,412,1.1e-114,99.558,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Herpotrichiellaceae_gen_Incertae_sedis,s__Herpotrichiellaceae_sp,Herpotrichiellaceae_sp,UDB03374380,SH1119522.09FU,reps,k__Fungi,OTU26.p__Ascomycota.g__Herpotrichiellaceae_gen_Incertae_sedis
27,OTU27,338,1,261,504,243,504,77,444,4.62e-124,97.338,p__Chytridiomycota,c__Chytridiomycota_cls_Incertae_sedis,o__Chytridiomycota_ord_Incertae_sedis,f__Chytridiomycota_fam_Incertae_sedis,g__Chytridiomycota_gen_Incertae_sedis,s__Chytridiomycota_sp,Chytridiomycota_sp,UDB02287150,SH1122624.09FU,reps,k__Fungi,OTU27.p__Chytridiomycota.g__Chytridiomycota_gen_Incertae_sedis
28,OTU28,261,1,201,463,262,463,77,350,7.86e-96,98.02,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__Schizothecium,s__Schizothecium_sp,Schizothecium_sp,HG327983,SH0965481.09FU,reps,k__Fungi,OTU28.p__Ascomycota.g__Schizothecium
