,V1,V2,V3,V4,V6,V7,V8,V9,V10,V11,V12,V5_2,V5_3,V5_4,V5_5,V5_6,V5_7,V5_1_1,V5_1_2,OTU.ID
1,OTU1,273,1,273,912,465,737,100,488,1.45e-136,98.901,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,uncultured|archaeon,_,KX061118.1.912,Archaea,OTU1.Crenarchaeota.uncultured|archaeon
2,OTU2,273,1,273,1363,362,634,100,488,1.45e-136,98.901,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,uncultured|archaeon,_,KP308704.6670.8032,Archaea,OTU2.Crenarchaeota.uncultured|archaeon
3,OTU3,273,1,273,1444,498,770,100,488,1.45e-136,98.901,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,Arthrobacter|sp.|11/16c,DQ310475.1.1444,Bacteria,OTU3.Actinobacteriota.Pseudarthrobacter
4,OTU4,273,1,273,1476,497,769,100,494,3.12e-138,99.267,Chloroflexi,KD4-96,_,_,_,_,KF712627.1.1476,Bacteria,OTU4.Chloroflexi._
5,OTU5,273,1,273,1525,522,794,100,488,1.45e-136,98.901,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter|junii|CIP|107470,APPS01000066.3407.4931,Bacteria,OTU5.Proteobacteria.Acinetobacter
6,OTU6,273,1,273,1460,483,755,100,477,3.15e-133,98.168,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Thermosynechococcaceae,Synechococcus|IR11,_,JX133605.1.1460,Bacteria,OTU6.Cyanobacteria.Synechococcus|IR11
7,OTU7,273,1,273,1475,489,761,100,460,3.17e-128,97.07,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,_,_,KJ817572.1.1475,Bacteria,OTU7.Proteobacteria._
8,OTU8,273,1,273,1404,536,808,100,494,3.12e-138,99.267,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,_,uncultured|Acidobacteria|bacterium,_,AY921989.1.1404,Bacteria,OTU8.Acidobacteriota.uncultured|Acidobacteria|bacterium
9,OTU9,274,1,274,1487,509,782,100,490,4.06e-137,98.905,Actinobacteriota,Acidimicrobiia,Actinomarinales,_,uncultured|actinobacterium,_,EU328001.1.1487,Bacteria,OTU9.Actinobacteriota.uncultured|actinobacterium
10,OTU10,273,1,273,1326,482,754,100,494,3.12e-138,99.267,Chloroflexi,Gitt-GS-136,_,_,_,_,HM299006.1.1326,Bacteria,OTU10.Chloroflexi._
