,V5_4,V1,V2,V3,V4,V6,V7,V8,V9,V10,V11,V12,V5_1,V5_2,V5_3,kingdom,phylum,class,order,family,genus,species,OTU.ID
1,AB365865,OTU109,313,23,313,486,1,291,93,538,3.63e-153,100,gi,ESA00401,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00248,OTU109.g__Glomus
2,AB546420,OTU375,312,23,312,498,1,290,93,531,6.05e-151,99.655,gi,TJA00013,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00291,OTU375.g__Glomus
3,AB698614,OTU3,313,23,313,500,1,291,93,532,1.69e-151,99.656,gi,MOA08456,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00063,OTU3.g__Glomus
4,AB698614,OTU79,157,1,106,500,106,1,68,191,5.46e-49,99.057,gi,MOA08456,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00063,OTU79.g__Glomus
5,AB698614,OTU618,333,1,281,500,281,1,84,520,1.4e-147,100,gi,MOA08456,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00063,OTU618.g__Glomus
6,AB749493,OTU11,313,23,313,500,1,291,93,532,1.69e-151,99.656,gi,MOA08368,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00063,OTU11.g__Glomus
7,AF485886,OTU596,311,23,311,487,1,292,93,237,1.47e-62,81.757,gi,ESA00876,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Diversisporales,f__Acaulosporaceae,g__Acaulospora,s__VTX00010,OTU596.g__Acaulospora
8,AJ563900,OTU345,320,23,320,500,1,291,93,200,1.99e-51,79.739,gi,ESA01929,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00072,OTU345.g__Glomus
9,AJ854095,OTU617,371,238,371,488,158,293,50,195,1.08e-49,92.647,gi,ESA00909,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Diversisporales,f__Acaulosporaceae,g__Acaulospora,s__VTX00030,OTU617.g__Acaulospora
10,AJ854100,OTU622,313,176,313,494,162,299,44,167,1.97e-41,88.489,gi,ESA00914,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00001,OTU622.g__Paraglomus
11,AM295493,OTU406,318,23,318,497,1,291,93,182,7.16e-46,78.477,gi,ESA02317,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00281,OTU406.g__Paraglomus
12,AM412061,OTU18,313,23,313,500,1,291,93,538,3.63e-153,100,gi,ESA00506,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00114,OTU18.g__Glomus
13,AY129588,OTU751,321,184,321,483,159,290,43,134,2.05e-31,84.783,gi,ESA01057,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00206,OTU751.g__Glomus
14,DQ263980,OTU475,326,23,326,489,1,294,93,176,3.42e-44,78.135,gi,ESA02586,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00344,OTU475.g__Glomus
15,DQ263980,OTU561,326,23,326,489,1,294,93,154,1.6e-37,77.143,gi,ESA02586,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00344,OTU561.g__Glomus
16,DQ336488,OTU184,321,23,321,500,1,291,93,196,2.58e-50,79.208,gi,ESA01179,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00235,OTU184.g__Glomus
17,DQ336488,OTU259,321,23,321,500,1,291,93,191,1.2e-48,79.016,gi,ESA01179,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00235,OTU259.g__Glomus
18,DQ336488,OTU298,322,178,322,500,149,291,61,195,9.32e-50,91.096,gi,ESA01179,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00235,OTU298.g__Glomus
19,DQ336488,OTU377,323,180,323,500,149,291,45,187,1.56e-47,90.345,gi,ESA01179,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00235,OTU377.g__Glomus
